"Participant"	"Item_1"	"Item_2"	"Item_3"	"Item_4"	"Item_5"	"Item_6"
"1"	"p1"	2	2	1	1	0	1
"2"	"p2"	1	2	1	1	0	1
"3"	"p3"	2	2	1	1	1	2
"4"	"p4"	1	0	1	1	0	0
"5"	"p5"	1	2	1	1	0	0
"6"	"p6"	1	2	1	1	1	1
"7"	"p7"	2	2	1	1	0	2
"8"	"p8"	1	2	1	1	0	1
"9"	"p9"	1	0	1	1	0	0
"10"	"p10"	2	2	1	1	1	2
"11"	"p11"	1	2	0	1	1	1
"12"	"p12"	1	2	1	1	1	1
"13"	"p13"	0	2	1	1	1	1
"14"	"p14"	1	2	1	1	0	0
"15"	"p15"	2	1	0	1	0	1
"16"	"p16"	2	1	1	0	0	1
"17"	"p17"	2	2	1	0	0	1
"18"	"p18"	2	2	1	1	1	2
"19"	"p19"	1	2	1	1	0	1
"20"	"p20"	1	2	1	1	0	1
"21"	"p21"	1	2	1	1	1	1
"22"	"p22"	1	1	0	1	1	1
"23"	"p23"	1	2	0	1	0	0
"24"	"p24"	1	2	0	1	0	1
"25"	"p25"	2	2	1	1	1	2
"26"	"p26"	0	2	1	1	0	0
"27"	"p27"	0	2	1	1	0	0
"28"	"p28"	0	2	1	1	0	0
"29"	"p29"	1	2	1	1	1	1
"30"	"p30"	2	2	1	1	1	1
"31"	"p31"	2	2	1	1	0	1
"32"	"p32"	1	2	1	1	1	1
"33"	"p33"	1	2	1	1	0	0
"34"	"p34"	2	2	1	1	1	2
"36"	"p35"	1	2	1	1	1	0
"37"	"p36"	1	2	1	1	1	1
"38"	"p37"	1	2	1	1	1	1
"39"	"p38"	0	2	1	1	0	0
"40"	"p39"	1	2	1	1	1	1
"41"	"p40"	1	2	1	1	1	2
"42"	"p41"	2	2	1	0	1	1
"43"	"p42"	1	2	1	0	0	0
"44"	"p43"	0	2	1	0	0	0
"45"	"p44"	2	2	1	1	1	2
"46"	"p45"	2	2	1	1	1	2
"47"	"p46"	2	2	1	1	0	1
"48"	"p47"	2	2	1	1	0	1
"49"	"p48"	1	1	1	1	0	1
"50"	"p49"	2	2	1	1	0	1
"51"	"p50"	1	0	0	0	1	0
"52"	"p51"	1	1	1	1	1	0
"53"	"p52"	1	2	1	1	0	1
"54"	"p53"	0	0	1	1	0	0
"55"	"p54"	2	2	1	1	0	1
"57"	"p55"	0	2	1	1	0	0
"58"	"p56"	1	0	0	1	0	0
"59"	"p57"	1	0	0	1	0	0
"62"	"p58"	0	1	0	1	1	1
"63"	"p59"	0	1	1	1	1	1
"64"	"p60"	1	2	1	1	1	1
"65"	"p61"	1	2	1	1	1	1
"66"	"p62"	2	2	1	1	1	1
"67"	"p63"	2	2	1	1	1	2
"68"	"p64"	1	2	1	1	1	1
"69"	"p65"	1	2	1	1	1	1
"70"	"p66"	1	1	0	0	1	1
"71"	"p67"	1	2	1	1	1	2
"73"	"p68"	2	2	1	1	1	1
"74"	"p69"	1	2	1	1	0	2
"75"	"p70"	1	2	1	1	1	1
"76"	"p71"	1	1	1	1	0	0
"77"	"p72"	2	2	1	1	1	2
"78"	"p73"	1	2	1	1	1	2
"79"	"p74"	1	2	1	0	1	2
"80"	"p75"	2	2	1	1	1	1
"81"	"p76"	2	2	1	1	1	2
"82"	"p77"	1	2	1	1	0	1
"83"	"p78"	2	2	1	1	1	1
"84"	"p79"	2	2	1	1	1	1
"85"	"p80"	2	1	1	1	0	1
"86"	"p81"	1	2	0	1	0	1
"87"	"p82"	1	2	1	0	0	1
"88"	"p83"	2	2	1	1	1	1
"89"	"p84"	0	2	1	1	0	0
"90"	"p85"	2	2	1	1	1	2
"91"	"p86"	2	2	1	1	1	2
"92"	"p87"	2	2	1	1	0	0
"93"	"p88"	2	2	1	1	1	1
"94"	"p89"	2	2	1	1	1	1
"95"	"p90"	2	2	1	1	1	2
"96"	"p91"	2	2	1	1	1	1
"97"	"p92"	1	2	1	1	1	1
"98"	"p93"	2	2	1	1	1	2
"99"	"p94"	1	2	1	1	0	1
"100"	"p95"	2	2	1	1	1	1
"101"	"p96"	1	2	1	1	1	1
"102"	"p97"	1	2	1	1	0	0
"103"	"p98"	2	2	1	1	1	1
"104"	"p99"	0	2	1	1	1	2
"105"	"p100"	2	2	1	1	1	2
"106"	"p101"	2	2	1	1	1	1
"107"	"p102"	2	2	1	1	1	2
"108"	"p103"	1	2	1	1	1	1
"109"	"p104"	2	2	1	1	1	2
"110"	"p105"	2	2	1	1	1	0
"111"	"p106"	2	2	1	1	1	1
"112"	"p107"	0	2	1	1	1	1
"113"	"p108"	0	2	1	1	1	1
"114"	"p109"	2	2	1	1	1	2
"115"	"p110"	2	2	1	1	1	2
"116"	"p111"	2	2	1	1	1	2
"117"	"p112"	2	2	1	1	1	2
"118"	"p113"	2	2	1	1	1	1
